,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193212,-0.0909,-8.5969,-0.1371,-13.1352,-14.0136,-20.9052,-13.1203,-1.773,-12.7366,-6.0029,-3.3317,-0.9442,-0.6029,-4.8237,-6.3211,0.1441,-2.4822,-0.0365,-0.9611,-9.6118,5.1124,7.0313,1.5757,-6.0678,15.0538
193301,37.2881,-2.4415,6.629,3.1192,7.1856,13.9945,3.1904,3.1905,5.7142,5.3669,3.6546,7.0669,2.1996,5.4577,11.9331,2.6915,4.158,4.6451,-1.0931,17.1755,0.1714,-0.1409,4.5237,4.2164,14.9533
193302,-30.7983,-16.0762,-17.8133,-12.2218,-14.0323,-25.1147,-25.9441,-21.2501,-18.4037,-18.1311,-14.9158,-15.7225,-17.4737,-17.0447,-19.8567,-13.4571,-16.1372,-13.3348,-12.2616,-22.8318,-14.8878,-17.0028,-17.7169,-16.2082,-24.3902
193303,-2.2059,20.7143,-5.3855,12.7689,18.0993,16.4674,18.935,10.6457,15.4451,21.443,-2.3211,10.8385,5.6613,14.8667,9.639,10.1325,10.6191,12.5039,9.942,7.6209,2.3529,4.4956,5.2676,6.9718,7.5269
193304,14.4444,47.7381,81.6651,51.6015,63.2648,36.1923,44.3107,57.298,66.8327,55.8197,42.1051,41.3891,62.1736,46.5345,67.2075,33.2888,50.2233,53.9298,49.4713,76.1355,34.1152,47.1993,48.4969,64.7341,52
193305,75,154.6537,82.735,110.7556,111.2645,92.4467,91.1153,92.7344,87.3548,70.0447,53.8735,40.9027,49.2977,61.2231,57.9799,31.3488,36.4403,40.457,47.5683,66.4317,15.9883,21.0961,23.2359,35.3956,25
193306,75.5952,74.5162,30.602,38.4384,43.2317,25.2851,22.4529,21.7615,23.21,23.7663,12.6,15.8222,16.4288,19.6663,26.406,8.4404,13.3919,16.5657,16.332,17.1851,10.4455,15.15,16.8737,20.3096,4.7368
193307,-3.2258,-9.8961,-5.2674,-1.2906,-2.1517,-8.6542,-16.0467,-10.8835,-11.0002,2.8589,-9.8426,-15.022,-13.7733,-16.8769,-17.2358,-10.3964,-8.539,-13.8373,-11.598,-5.0034,-9.81,-12.8933,-14.7954,-10.6056,-3.4471
193308,0,6.8895,5.7883,5.8153,-0.2904,6.534,12.0136,10.6875,7.6274,6.9044,12.7483,19.2042,14.4158,12.2592,17.1116,15.7491,14.8113,15.7035,17.6068,22.3888,10.1805,14.7074,17.3822,16.8979,23.0266
193309,-16.6667,-12.6955,-19.4229,-17.2385,-20.5847,-4.0706,-12.5287,-18.132,-11.4284,-25.6373,-13.3927,-6.7987,-14.1886,-15.2951,-25.8263,-7.1419,-11.9619,-18.6335,-12.9832,-21.5598,-10.7449,-10.5881,-10.0591,-17.2677,-27.7963
193310,-12,-15.417,-6.3155,-9.742,-12.5085,-13.5728,-8.3341,-12.8746,-12.8388,-10.6651,-7.8826,-9.3638,-12.9301,-14.9333,-13.3793,-4.4582,-8.5932,-10.7461,-13.8997,-19.6727,-6.5007,-6.7651,-11.085,-16.8179,-19.0569
193311,0,4.8783,-2.5957,12.7719,3.0691,-0.8204,6.9223,4.243,8.7993,2.0633,6.6762,5.3199,8.169,3.7738,9.8676,6.064,10.4374,9.2595,9.6654,8.9338,7.3101,8.9534,9.5398,14.2941,10.5543
193312,-36.3636,-3.1745,-7.8239,1.3705,0.5502,8.5939,7.1348,7.5114,-3.6387,-2.0285,-0.9478,2.4827,6.1362,1.1377,4.6519,-0.8076,1.3324,7.5406,-2.0365,9.915,0.6855,3.0799,-0.0711,4.3615,8.314
193401,100,46.9714,52.015,43.0923,56.6367,23.8419,24.4575,36.7174,36.6799,56.1376,41.9032,23.5328,27.9683,30.0693,35.8002,13.4406,17.6899,25.7879,28.7807,31.6352,12.7896,15.0767,17.7789,18.364,36.5162
193402,-14.2857,14.8191,3.1745,11.091,6.5196,5.0087,1.5314,3.5894,0.1647,4.682,-0.6459,1.6376,3.4912,1.5865,1.7854,-3.7146,-1.029,-3.403,-1.0046,0.4993,-3.2598,-2.5516,-3.9057,-7.083,-5.672
193403,8.3333,-1.4727,0.7679,0.8359,-1.436,4.7869,1.8924,0.7451,1.6921,2.1165,5.4414,2.952,0.3759,-1.4975,-4.3552,0.7314,0.4156,0.1001,-1.7713,0.1604,-0.4338,-0.3061,-1.9379,1.0822,0.4057
193404,0,-0.8121,7.0612,4.5815,3.2546,10.0453,2.1774,-3.0287,0.4379,-1.5039,-1.5871,-1.8597,-1.9407,1.0422,-3.2139,-0.4586,-0.2218,0.2903,-4.4755,-6.2162,-1.5145,-1.4731,-0.8856,-3.7217,-5.3805
